Category,Neutral,Oppose,Support
Financial Services,4,0,9
Government,60,164,706
Input,1,0,5
Marketing and Distribution,0,1,10
NGO,50,70,185
Political Party,106,270,900
Primary and Secondary Processing and Packaging - Larger Globally operating Co-operatives/Businesses,1,0,7
Primary and Secondary Processing and Packaging - Small Businesses,1,0,2
Production,0,0,2
Production - Associations,23,36,89
Production - Small co-operatives,0,0,3
Research and Regulatory,38,19,107
Trade association,5,0,3
